gw_id,gw,gameweek,season
202001,1,Gameweek 1,2020-21
202002,2,Gameweek 2,2020-21
202003,3,Gameweek 3,2020-21
202004,4,Gameweek 4,2020-21
202005,5,Gameweek 5,2020-21
202006,6,Gameweek 6,2020-21
202007,7,Gameweek 7,2020-21
202008,8,Gameweek 8,2020-21
202009,9,Gameweek 9,2020-21
202010,10,Gameweek 10,2020-21
202011,11,Gameweek 11,2020-21
202012,12,Gameweek 12,2020-21
202013,13,Gameweek 13,2020-21
202014,14,Gameweek 14,2020-21
202015,15,Gameweek 15,2020-21
202016,16,Gameweek 16,2020-21
202017,17,Gameweek 17,2020-21
202018,18,Gameweek 18,2020-21
202019,19,Gameweek 19,2020-21
202020,20,Gameweek 20,2020-21
202021,21,Gameweek 21,2020-21
202022,22,Gameweek 22,2020-21
202023,23,Gameweek 23,2020-21
202024,24,Gameweek 24,2020-21
202025,25,Gameweek 25,2020-21
202026,26,Gameweek 26,2020-21
202027,27,Gameweek 27,2020-21
202028,28,Gameweek 28,2020-21
202029,29,Gameweek 29,2020-21
202030,30,Gameweek 30,2020-21
202031,31,Gameweek 31,2020-21
202032,32,Gameweek 32,2020-21
202033,33,Gameweek 33,2020-21
202034,34,Gameweek 34,2020-21
202035,35,Gameweek 35,2020-21
202036,36,Gameweek 36,2020-21
202037,37,Gameweek 37,2020-21
202038,38,Gameweek 38,2020-21
202101,1,Gameweek 1,2021-22
202102,2,Gameweek 2,2021-22
202103,3,Gameweek 3,2021-22
202104,4,Gameweek 4,2021-22
202105,5,Gameweek 5,2021-22
202106,6,Gameweek 6,2021-22
202107,7,Gameweek 7,2021-22
202108,8,Gameweek 8,2021-22
202109,9,Gameweek 9,2021-22
202110,10,Gameweek 10,2021-22
202111,11,Gameweek 11,2021-22
202112,12,Gameweek 12,2021-22
202113,13,Gameweek 13,2021-22
202114,14,Gameweek 14,2021-22
202115,15,Gameweek 15,2021-22
202116,16,Gameweek 16,2021-22
202117,17,Gameweek 17,2021-22
202118,18,Gameweek 18,2021-22
202119,19,Gameweek 19,2021-22
202120,20,Gameweek 20,2021-22
202121,21,Gameweek 21,2021-22
202122,22,Gameweek 22,2021-22
202123,23,Gameweek 23,2021-22
202124,24,Gameweek 24,2021-22
202125,25,Gameweek 25,2021-22
202126,26,Gameweek 26,2021-22
202127,27,Gameweek 27,2021-22
202128,28,Gameweek 28,2021-22
202129,29,Gameweek 29,2021-22
202130,30,Gameweek 30,2021-22
202131,31,Gameweek 31,2021-22
202132,32,Gameweek 32,2021-22
202133,33,Gameweek 33,2021-22
202134,34,Gameweek 34,2021-22
202135,35,Gameweek 35,2021-22
202136,36,Gameweek 36,2021-22
202137,37,Gameweek 37,2021-22
202138,38,Gameweek 38,2021-22
202201,1,Gameweek 1,2022-23
202202,2,Gameweek 2,2022-23
202203,3,Gameweek 3,2022-23
202204,4,Gameweek 4,2022-23
202205,5,Gameweek 5,2022-23
202206,6,Gameweek 6,2022-23
202208,8,Gameweek 8,2022-23
202209,9,Gameweek 9,2022-23
202210,10,Gameweek 10,2022-23
202211,11,Gameweek 11,2022-23
202212,12,Gameweek 12,2022-23
202213,13,Gameweek 13,2022-23
202214,14,Gameweek 14,2022-23
202215,15,Gameweek 15,2022-23
202216,16,Gameweek 16,2022-23
202217,17,Gameweek 17,2022-23
202218,18,Gameweek 18,2022-23
202219,19,Gameweek 19,2022-23
202220,20,Gameweek 20,2022-23
202221,21,Gameweek 21,2022-23
202222,22,Gameweek 22,2022-23
202223,23,Gameweek 23,2022-23
202224,24,Gameweek 24,2022-23
202225,25,Gameweek 25,2022-23
202226,26,Gameweek 26,2022-23
202227,27,Gameweek 27,2022-23
202228,28,Gameweek 28,2022-23
202229,29,Gameweek 29,2022-23
202230,30,Gameweek 30,2022-23
202231,31,Gameweek 31,2022-23
202232,32,Gameweek 32,2022-23
202233,33,Gameweek 33,2022-23
202234,34,Gameweek 34,2022-23
202235,35,Gameweek 35,2022-23
202236,36,Gameweek 36,2022-23
202237,37,Gameweek 37,2022-23
202238,38,Gameweek 38,2022-23
202301,1,Gameweek 1,2023-24
202302,2,Gameweek 2,2023-24
202303,3,Gameweek 3,2023-24
202304,4,Gameweek 4,2023-24
202305,5,Gameweek 5,2023-24
202306,6,Gameweek 6,2023-24
202307,7,Gameweek 7,2023-24
202308,8,Gameweek 8,2023-24
202309,9,Gameweek 9,2023-24
202310,10,Gameweek 10,2023-24
202311,11,Gameweek 11,2023-24
202312,12,Gameweek 12,2023-24
202313,13,Gameweek 13,2023-24
202314,14,Gameweek 14,2023-24
202315,15,Gameweek 15,2023-24
202316,16,Gameweek 16,2023-24
202317,17,Gameweek 17,2023-24
202318,18,Gameweek 18,2023-24
202319,19,Gameweek 19,2023-24
202320,20,Gameweek 20,2023-24
202321,21,Gameweek 21,2023-24
202322,22,Gameweek 22,2023-24
202323,23,Gameweek 23,2023-24
202324,24,Gameweek 24,2023-24
202325,25,Gameweek 25,2023-24
202326,26,Gameweek 26,2023-24
202327,27,Gameweek 27,2023-24
202328,28,Gameweek 28,2023-24
202329,29,Gameweek 29,2023-24
202330,30,Gameweek 30,2023-24
202331,31,Gameweek 31,2023-24
202332,32,Gameweek 32,2023-24
202333,33,Gameweek 33,2023-24
202334,34,Gameweek 34,2023-24
202335,35,Gameweek 35,2023-24
202336,36,Gameweek 36,2023-24
202337,37,Gameweek 37,2023-24
202338,38,Gameweek 38,2023-24
202401,1,Gameweek 1,2024-25
202402,2,Gameweek 2,2024-25
202403,3,Gameweek 3,2024-25
202404,4,Gameweek 4,2024-25
202405,5,Gameweek 5,2024-25
202406,6,Gameweek 6,2024-25
202407,7,Gameweek 7,2024-25
202408,8,Gameweek 8,2024-25
202409,9,Gameweek 9,2024-25
202410,10,Gameweek 10,2024-25
202411,11,Gameweek 11,2024-25
202412,12,Gameweek 12,2024-25
202413,13,Gameweek 13,2024-25
202414,14,Gameweek 14,2024-25
202415,15,Gameweek 15,2024-25
202416,16,Gameweek 16,2024-25
202417,17,Gameweek 17,2024-25
202418,18,Gameweek 18,2024-25
202419,19,Gameweek 19,2024-25
202420,20,Gameweek 20,2024-25
202421,21,Gameweek 21,2024-25
202422,22,Gameweek 22,2024-25
202423,23,Gameweek 23,2024-25
202424,24,Gameweek 24,2024-25
202425,25,Gameweek 25,2024-25
202426,26,Gameweek 26,2024-25
202427,27,Gameweek 27,2024-25
202428,28,Gameweek 28,2024-25
202429,29,Gameweek 29,2024-25
202430,30,Gameweek 30,2024-25
202431,31,Gameweek 31,2024-25
202432,32,Gameweek 32,2024-25
202433,33,Gameweek 33,2024-25
202434,34,Gameweek 34,2024-25
202435,35,Gameweek 35,2024-25
202436,36,Gameweek 36,2024-25
202437,37,Gameweek 37,2024-25
202438,38,Gameweek 38,2024-25
202501,1,Gameweek 1,2025-26
202502,2,Gameweek 2,2025-26
202503,3,Gameweek 3,2025-26
202504,4,Gameweek 4,2025-26
202505,5,Gameweek 5,2025-26
202506,6,Gameweek 6,2025-26
202507,7,Gameweek 7,2025-26
202508,8,Gameweek 8,2025-26
202509,9,Gameweek 9,2025-26
202510,10,Gameweek 10,2025-26
202511,11,Gameweek 11,2025-26
202512,12,Gameweek 12,2025-26
202513,13,Gameweek 13,2025-26
202514,14,Gameweek 14,2025-26
202515,15,Gameweek 15,2025-26
202516,16,Gameweek 16,2025-26
202517,17,Gameweek 17,2025-26
202518,18,Gameweek 18,2025-26
202519,19,Gameweek 19,2025-26
202520,20,Gameweek 20,2025-26
202521,21,Gameweek 21,2025-26
202522,22,Gameweek 22,2025-26
202523,23,Gameweek 23,2025-26
202524,24,Gameweek 24,2025-26
202525,25,Gameweek 25,2025-26
202526,26,Gameweek 26,2025-26
202527,27,Gameweek 27,2025-26
202528,28,Gameweek 28,2025-26
202529,29,Gameweek 29,2025-26
202530,30,Gameweek 30,2025-26
202531,31,Gameweek 31,2025-26
202532,32,Gameweek 32,2025-26
202533,33,Gameweek 33,2025-26
202534,34,Gameweek 34,2025-26
202535,35,Gameweek 35,2025-26
202536,36,Gameweek 36,2025-26
202537,37,Gameweek 37,2025-26
202538,38,Gameweek 38,2025-26
